, 6, 8, 10, 12, 14, 
off_comm, 4556040, 19627980, 90595800, -1, 1797501820, 
off_time, 1.86363, 5.37054, 19.7991, 124.759, 525.616, 
on_comm, 301280, 1478880, 5411040, 18682080, 107483360, 
on_time, 0.087617, 0.414124, 0.898304, 1.82741, 23.6122, 
