, 6, 8, 10, 12, 14, 
off_comm, 1976176, 8638200, 30263248, -1, 654973448, 
off_time, 0.784045, 2.38585, 6.93688, 51.9582, 202.044, 
on_comm, 126720, 627456, 2147072, 7668480, 42205952, 
on_time, 0.029775, 0.169109, 0.310878, 0.60499, 10.7167, 
