logsz, 6, 8, 10, 12, 
off_comm, 1991696, 7401680, 30263248, 184413264, 
off_time, 5.291, 8.51767, 19.0453, 64.3888, 
on_comm, 166640, 566000, 2130672, 14026016, 
on_time, 1.455, 1.56333, 2.29167, 8.65639, 
current, -1, -1, -1, -1, -1, -1, 
