logsz, 6, 8, 10, 12, 
off_comm, 8174848, 40972404, 206469208, 899126184, 
off_time, 107.934, 195.318, 504.889, 1621.06, 
on_comm, 537328, 3037936, 8489712, 36063984, 
on_time, 8.1095, 12.8693, 21.1131, 66.0715, 
