, 6, 8, 10, 12, 14, 
off_comm, 10404352, 46645424, -1, -1, -1, 
off_time, 3.95445, 10.0803, -1.0, -1.0, -1.0, 
on_comm, 745896, 3863464, -1, -1, -1, 
on_time, 0.338242, 1.47405, -1.0, -1.0, -1.0, 
