logsz, 6, 8, 10, 12, 
offline comm, 159924662, 643766581, -1, -1, 
offline time, 13.5037, 58.8113, -1, -1, 
online comm, 20173, 37581, -1, -1, 
online time, 0.0971918, 0.12385, -1, -1, 
