, 6, 8, 10, 12, 14, 
off_comm, 33449840, 157697584, 661794064, 3073048048, 12707427608, 
off_time, 4.43096, 17.189, 80.3018, 342.103, 1339.36, 
on_comm, 21152, 73376, 282272, 1117856, 4460192, 
on_time, 0.31725, 0.338246, 0.349726, 0.37725, 0.111034, 
