logsz, 6, 8, 10, 12, 14, 16, 18, 
off_comm, -1, 8872942, 56582116, 230211868, 908044940, 2759793236, 11950322404, 
off_time, 4.306, 5.714, 15.715, 51.4965, 213.228, 771.642, 3495.38, 
on_comm, 3192, 12408, 49272, 196728, 786552, 3145848, 12583076, 
on_time, 0.333, 0.3335, 0.336, 0.347838, 0.398, 0.5025, 1.23941, 
current, 12, 4, 230211868, 51.4965, 196728, 0.347838, 
