, 6, 8, 10, 12, 14, 
off_comm, 5945344, 26654528, 143248128, -1, 3132169632, 
off_time, 2.40877, 5.23546, 30.9183, 204.725, 854.332, 
on_comm, 416256, 2189824, 8727040, 29633024, 175122944, 
on_time, 0.142864, 0.734503, 1.47341, 2.76314, 41.6587, 
