logsz, 6, 8, 10, 12, 14, 
offline comm, 5021320, 21208840, 121620920, 509030520, 2369709080, 
offline time, 0.885263, 3.05073, 16.4877, 78.6394, 361.445, 
online comm, 439360, 1745440, 8933920, 34738720, 171708960, 
online time, 0.252697, 0.604477, 2.74196, 8.57115, 53.1768, 
